v_inf,re,im
5.0,-37.677418080673206,-264.0286184767332
5.0,-65.95023014920692,-263.33229663892683
5.0,-68.95046367001395,-260.88437166208394
5.0,-68.39204580070141,-260.267285855543
5.0,-70.66118578822037,-260.22686631882203
5.0,-69.09169429096404,-260.1488812395563
5.0,-67.61142866414971,-259.6917582300955
5.0,-68.13728510681008,-259.6736793375417
5.0,-68.95764596046733,-259.64068908220395
5.0,-67.82052233742881,-259.60354797277836
5.0,-68.3049929227477,-259.27378797858177
5.0,-68.47066248625269,-259.2511845432173
5.0,-69.0144017522902,-259.13964615457456
5.0,-68.17010955973458,-259.01015865806556
5.0,-5344.057654857965,-258.9767313999644
5.0,-4601.937410042944,-258.9171138020996
5.0,-38.847696776852864,-258.521297456735
5.0,-51.90921334485969,-258.3068625981821
5.0,-63.804467786698225,-258.1195337187428
5.0,-4194.323389416155,-257.33346223552826
5.0,-68.38038699614533,-256.9716693753406
5.0,-68.54252243979163,-255.36916709828694
5.0,-68.23430603542872,-254.4934260858556
5.0,-69.30207785488192,-254.40373634016768
5.0,-1.887464584605194,-253.77152992270214
5.0,-70.21420514857886,-253.65892569074242
5.0,-68.64078292915784,-253.325341830901
5.0,-69.15552492062906,-252.97112822398827
5.0,-56.570851857040104,-252.89403091673015
5.0,-21.83718962612895,-252.76439289398175
5.0,-37.59936538195348,-252.60744157270855
5.0,-65.96735697135604,-251.93109337253384
5.0,-4983.826012065605,-251.20278964964808
5.0,-69.1967203289555,-249.20883679279086
5.0,-68.46548471137127,-248.71059910779
5.0,-69.13671760508859,-248.35141558664392
5.0,-68.06556189515459,-248.2877031370933
5.0,-67.65981190828583,-248.19323529309963
5.0,-67.82202380518386,-248.04537232475735
5.0,-70.44138708084989,-247.9879779169019
5.0,-68.99065140508988,-247.90240704825538
5.0,-68.31602078343182,-247.65349886416797
5.0,-68.58310834739747,-247.63734796133662
5.0,-68.18067554712029,-247.50890400788836
5.0,-69.02662644968144,-247.35382099929092
5.0,-38.7733354789395,-247.11637915467634
5.0,-51.79941243546027,-246.8846728534615
5.0,-63.692635681656355,-246.7107952440185
5.0,-68.38926487276474,-245.4729871274064
5.0,-68.83363758327525,-243.89691726015195
5.0,-5126.585943660101,-243.5063936211237
5.0,-68.27500178569079,-242.89868858560794
5.0,-69.05413612953147,-242.76511176621582
5.0,-70.59978876784113,-242.585659336733
5.0,-68.6981017635253,-241.97500789925806
5.0,-69.33786508496416,-241.67629750033828
5.0,-56.43369905063162,-241.41414644575715
5.0,-21.71441235038263,-241.37327451157844
5.0,-37.515455730071054,-241.18688690662296
5.0,-65.97353267291987,-240.56675531174128
5.0,-2087.962969355451,-240.56481528192072
5.0,-3925.0435878501366,-238.32961840457733
5.0,-69.45267376446766,-237.55115351813498
5.0,-68.55135310468609,-237.19105270421116
5.0,-67.97517241468648,-236.9038780489831
5.0,-67.72428125096098,-236.70979205335368
5.0,-69.26783783812088,-236.5168630460395
5.0,-67.85094746378412,-236.49644449761917
5.0,-69.02046755473987,-236.13497926907075
5.0,-68.34611488110694,-236.06970561788265
5.0,-68.6908610319223,-236.04470293422594
5.0,-68.24444168699739,-236.01555729573423
5.0,-70.15501578916202,-235.8841156551961
5.0,-38.68885852664277,-235.7178530979842
5.0,-69.12011857153,-235.57758711410676
